Institution,Rank After NDUB 2026,Rank After BUET 2026,Rank After ICPC 2025,Rank After CUET 2025,Rank After MU 2025,Rank After UU 2025,Rank After DUET 2025,Rank After AUST 2025,Rank After UIU 2025,Rank After KUET 2025,Rank After ICPC 2024,Rank After BUET 2024,Rank After IUT 2024,Rank After NCPC 2024,Rank After SUST 2024,Rank After CUET 2024
FAREAST INTERNATIONAL UNIVERSITY,108,108,107,105,105,105,105,103,102,100,99,,,,,
BANGLADESH OPEN UNIVERSITY,109,109,108,102,102,102,102,96,97,92,90,,,,,
TEESTA UNIVERSITY,110,110,109,109,109,109,109,107,106,105,104,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,111,111,110,108,108,108,108,106,105,104,103,85,84,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,112,112,111,109,109,109,109,107,106,105,104,,,,,
STATE UNIVERSITY OF BANGLADESH,113,113,112,106,106,106,106,104,103,102,101,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,114,114,113,,,,,,,,,,,,,
SOUTHERN UNIVERSITY BANGLADESH,115,115,114,107,107,107,107,105,104,103,102,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",116,116,115,109,109,109,109,107,106,105,104,,,,,
HAMDARD UNIVERSITY BANGLADESH,117,117,116,109,109,109,109,107,106,105,104,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,118,118,117,109,109,109,109,107,106,105,104,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",118,118,117,,,,,,,,,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,118,118,117,109,109,109,109,107,106,105,104,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,118,118,117,109,109,109,109,107,106,105,104,,,,,
CENTRAL WOMENS UNIVERSITY,118,118,117,109,109,109,109,107,106,105,104,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,118,118,117,109,109,109,109,107,106,105,104,,,,,
DAFFODIL INTERNATIONAL COLLEGE,118,118,117,109,109,109,109,,,,,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,118,118,117,109,109,109,109,107,106,105,104,,,,,
GERMAN UNIVERSITY BANGLADESH,118,118,117,109,109,109,109,107,106,105,104,,,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,118,118,117,109,109,109,,,,,,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,118,118,117,109,109,109,109,107,106,105,104,85,84,,,
PRIMEASIA UNIVERSITY,118,118,117,109,109,109,109,107,106,105,104,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,118,118,117,109,109,109,109,107,106,105,104,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,118,118,117,109,109,109,109,107,106,105,,,,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,118,118,117,109,109,109,109,,,,,,,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,
