Institution,Score In NSU 2026,Score In NDUB 2026,Score In BUET 2026,Score In ICPC 2025,Score In CUET 2025,Score In MU 2025,Score In UU 2025,Score In DUET 2025,Score In AUST 2025,Score In UIU 2025,Score In KUET 2025,Score In ICPC 2024,Score In BUET 2024,Score In IUT 2024,Score In NCPC 2024,Score In SUST 2024,Score In CUET 2024
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,1764.3143969920109,1134.7724995233077,1890.930553623462,1244.3839134253383,2003.6480235549557,872.0027460195276,1590.418702141845,1803.7196643870284,601.0626703993519,1026.0972077144645,692.1311212095401,59.05951392147181,741.4181032179395,1687.8972081812292,1184.5843452686688,1873.7815222521222,1929.5042892013917
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1613.0104253609127,1512.005392163699,1187.333263121695,919.592327447362,1497.069479961989,1070.696458901364,868.0662545890858,1948.9828901544513,1036.6955281900366,1498.1231571333672,815.0247016292701,1057.5180799708073,923.3584883300596,503.45148939138846,1044.2572337798292,1096.4703865552954,473.22257327493475
UNIVERSITY OF CHITTAGONG,1452.1299786340167,1312.6104873440268,615.3676318554444,1555.0444003415296,406.7922492450173,,1152.3437013706375,1144.548886566218,1271.644510287324,1295.1330728830037,1212.641523561253,1326.626454083747,295.2442083324104,414.9347575932443,777.3722424339026,549.2944695387475,1008.7149729401051
DAFFODIL INTERNATIONAL UNIVERSITY,1406.2040693729973,1204.8420393955562,2149.970071189284,1340.8092966533495,2423.212326493541,2102.1765681397983,1669.7951677815292,1816.5349916532352,1080.677961325153,1516.0351777879605,1799.3615895161374,1819.0983463905868,1705.270608106269,1142.9686424725248,415.9880751812964,892.0298960060242,458.7301453431964
LEADING UNIVERSITY,1394.6256314801094,2270.3024837073244,1967.527188468366,588.1573055936301,1459.9864873821823,689.6077612187494,2176.6588349705803,1693.3777853662855,565.9364810799811,,743.7279295482128,335.2262256621008,1506.7423709334587,1290.2618650484285,513.642538651634,417.9653778299783,893.5624732424279
COMILLA UNIVERSITY,1312.8729824236946,2203.5827355490983,1183.2301893158929,1968.5682770994501,1894.696601903059,1098.0553065016056,1197.16720183299,2001.2971690641323,828.955682799119,1649.420654551676,2338.8406634319394,2243.439343738098,2109.555740860586,2425.30480384627,1288.0626348665362,2039.1058907083768,906.2433765928854
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,1066.722404166861,807.3961964348816,1613.6699769942215,1306.3359189216962,1965.9063957949231,1858.630814776919,1578.2981287711193,1371.6812001570636,1143.5441556319367,1226.728385729497,630.232459171047,148.43229851634524,1236.1016630602103,266.0440073511879,858.2448129406151,583.6157442251397,
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,990.1064042989087,1317.389813323354,960.1486284165173,538.2919342545384,1591.0600587515794,992.2402622307403,730.620855411332,1201.149721527084,,,674.244593995962,540.3035588621128,1079.1226975653174,1080.5766271393104,134.64802418474446,366.7133667050536,572.5220271046717
SYLHET ENGINEERING COLLEGE,814.759859909797,2180.398505352514,1374.9384974471427,1072.050077032899,1505.9765936812507,1432.019558802599,865.0863486972296,1335.4156077820733,814.1385654822606,941.5813441291269,1398.399299774515,1171.8337965086837,932.3077116140578,1120.1092696230744,606.7192405407021,554.5043896833783,1853.6942156187542
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,813.9914990581981,807.7097028038742,1125.6382900301983,1087.345116732767,1344.3645413487816,1783.8857522586943,,1042.748742509849,289.3735543482262,736.6520923689349,944.0279757617577,608.4110076990899,579.807276938504,1386.7778582715664,605.2594975622052,1630.1043177316953,1437.7189574148142
EAST WEST UNIVERSITY,789.3419156959274,1452.1299786340167,722.5011596124832,756.6999227588224,815.0452187894628,720.1291056783874,2548.090462128316,2513.6359243400125,688.9708384996468,1619.57466197298,1267.1788210721054,1187.2831987023098,2520.8978381195734,1374.553737290909,783.1057721590266,1584.063683342241,2186.0052770637662
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,781.7234865539434,1599.3674765724088,2871.2454860877933,1440.2420381320503,930.1894359138352,1021.8333305447778,2638.968827778141,1272.2224589862124,1274.6902580522003,2724.4605330939758,1812.7547105341043,1848.4634955501595,2913.0941942639042,1597.122927289314,2347.4171203172746,2644.50140549833,866.9870304500754
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,735.2583240706764,715.5034861787376,254.73564296264152,85.05658609754447,,482.0383446492242,271.0839168135356,586.0361535665045,442.3482161387982,,,27.663543674402817,384.1924176609974,339.03190706191594,61.281534251445876,,199.61347339678113
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,627.3986689743981,1329.9104576870748,1359.365064889328,1085.4852595394302,1919.6012723839663,996.1368330933577,2004.9343376532622,1784.442420224236,1086.4801225017688,1879.8501065545956,1100.4251046822562,940.5316915644701,2482.8075219884704,1493.4200957524142,1720.8778352347458,1829.3474672353482,1894.6294753953978
NORTHERN UNIVERSITY BANGLADESH,621.1468454788037,,,21.291827668939746,,,,,,126.37948058638376,141.34733570839975,47.92125678333961,,0.0,,,
NETROKONA UNIVERSITY,521.8805447435748,1235.4184898042995,634.2706197051373,223.05107444951585,450.6821085816398,972.3954569861255,1020.1410853646412,540.5410886586142,385.5343941592056,350.2141669421452,133.03498159006014,767.3250369989707,,240.48271110875078,27.783585886790792,234.96004628586857,584.2061501068077
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,509.8846927368625,841.0138513159873,1453.1547900175156,79.327316232114,511.83228502449214,,2403.5781833767196,488.5220631130728,582.6632556569816,,2413.467601167964,1235.3018874253714,2680.42591157636,1857.4403917729012,1011.5449681879664,1512.005392163699,930.4065735552143
ISLAMIC UNIVERSITY,509.86453797620817,2511.616605950983,1117.5085685840343,558.6004999125673,110.91761818573833,689.7412629754346,1132.808356535642,912.3851149804159,327.9984064841232,170.40477379821522,461.1727936917715,1493.6357672683268,1418.1338655836041,778.6275277354652,367.4488356588654,1235.4184898042995,
UNITED INTERNATIONAL UNIVERSITY,459.4917118653986,633.8233117130649,293.4318058932683,156.23539449335894,654.3085398121294,933.8885968894748,299.42021009517174,675.0592294812207,288.04925692058356,561.2027810509902,910.2345877612491,123.65603425091042,416.5282739822648,747.7938776371407,102.02412637636041,874.1892980859036,841.0138513159873
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,446.3877391931945,2301.2986509388215,1974.9174640416184,1822.7247206051097,1529.579175780073,789.6773431886485,2259.9955948847464,2068.41324890396,2232.341653397749,1714.8216728409022,1689.347695068221,1125.047227844016,1178.7341556086847,2483.510140044054,1692.72007790115,1525.6429842642206,1779.262134329519
JAGANNATH UNIVERSITY,431.7811179427104,324.3922137944213,687.6545041463023,413.29020830070345,,,760.7464133812288,469.257520833522,455.0497256853214,602.4424136337198,365.6087032424068,177.52004068803112,1036.3894387417308,1264.4566277474598,173.0424890084004,,
JAMALPUR SCIENCE AND TECHNOLOGY UNIVERSITY,408.4199416438044,,,55.200837837493324,,,,,,,,,,,,,
UNIVERSITY OF BARISAL,392.98449821797306,791.5555087477966,1742.9189690474695,355.94343727796996,730.620855411332,,2359.859033913942,478.8342049321652,318.22316276343764,,297.3264045649384,767.865841998169,256.30903579657945,,305.00465062000256,1836.0804129410285,440.28225718807255
PRIME UNIVERSITY,332.57905367931926,561.4675514950067,265.23911178950596,126.37948058638376,,,305.5308266277263,352.7966099984933,706.7744762960069,157.83006431313507,77.10275521541725,10.948779338106663,,398.5033411925519,,,229.93618520842574
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",225.40896411883628,684.1275074899652,381.8339928207555,64.99901948128604,,,,,,400.0337543325671,,10.712714132783633,,,,,
PREMIER UNIVERSITY,211.39839851510945,,647.2149180664666,18.072478619145084,662.1062093919455,,,620.0117829478584,321.43843835444073,,0.0,193.68352384089312,,,190.09722513527086,,549.8501548313267
BANGLADESH AGRICULTURAL UNIVERSITY,199.75434657125365,,,10.498459850127961,239.92435162221406,,162.81900519590988,235.5298292431671,,,117.84802482993729,20.931353036048264,,0.0,,,
KISHOREGANJ UNIVERSITY,188.0071929580913,366.1963130258317,397.5780849862095,38.372052673751334,687.6545041463023,,,318.9001928181768,161.61363428446154,347.27951629664716,144.2319752126528,26.181994838328627,400.0337543325671,277.0137519275175,78.09382978328927,496.51869458329793,244.30316578171693
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,187.12945827680255,2668.548612770809,2763.4725385561774,1001.3749794714762,1094.3860563716476,833.9990273463276,191.37997406352696,1866.7542522550827,,,837.8995372247716,1396.3234238106718,1088.7816954618017,1678.9789989398646,1212.8468284682656,1981.9825685828557,1369.0812734085193
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,180.37723500546107,624.719694009131,598.4992099415665,602.6111957279439,408.0254711550802,353.0111485442691,775.914905953788,1441.2841013964062,1043.9926412350799,1244.0420670033404,876.3847989773748,435.4150570564083,590.1411331469599,835.9971491733191,311.70036347712846,1210.7101200082134,444.80945663706177
BANGLADESH UNIVERSITY OF PROFESSIONALS,166.5447394295531,317.9043695185329,276.1756682522969,3.752733419223504,,0.0,,104.5741332962612,152.10945967946085,1101.145609760528,115.49106433333854,105.61931619124238,,226.34040383386733,28.350597843664076,413.9713504646079,191.70877985026857
"INDEPENDENT UNIVERSITY, BANGLADESH",158.95245628441268,,169.5324918741253,30.159226788791788,,,147.1754849108702,,93.37352526482505,533.1837075086069,,43.4402569757902,0.0,440.86090573787754,285.43430109920564,685.9909619179947,212.08581606811487
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,153.61556486531626,381.29561956042454,422.41974537204896,489.5937680956546,,763.0549771807558,187.55237458225645,519.135661547733,,151.57999376633492,68.40984627183875,0.0,,184.93658907259885,,,
EASTERN UNIVERSITY,141.69010591218242,1286.3582775971465,518.2452755687801,384.1924176609974,,,,,,,,0.0,,,,,
BGC TRUST UNIVERSITY BANGLADESH,136.07917771805998,299.209049355887,,181.8055779592881,,,,,,,,9.698892756422977,,,34.00380682429765,,
ASIAN UNIVERSITY OF BANGLADESH,0.0,,,0.0,,,,98.42433766537465,,,,27.218132174522065,,,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,0.0,,,82.38404802772949,191.97946452522254,,166.14184203664277,367.3434089946827,678.7862070346849,256.65430365266326,166.14184203664277,417.1989794275364,408.19770850261943,844.1613246227679,202.84652016853255,,1891.524709815056
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,0.0,,,12.340051896318432,177.0757454519148,217.72409829175172,0.0,180.99997495246282,302.53528667169275,85.82498173153715,100.26074180961079,0.0,,281.338441582279,,,182.29585305601273
DHAKA INTERNATIONAL UNIVERSITY,0.0,701.193416455163,162.81900519590988,22.169749759412483,287.76611167054796,325.6062435422641,180.1253005487991,325.4083600185478,284.7437915331039,795.0786003840458,113.18124304667178,0.0,,181.23785729114687,,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,0.0,,,80.61854097164641,,,,,,,,30.159226788791788,,,,,
MYMENSINGH ENGINEERING COLLEGE,0.0,,,15.102756807346278,,,,338.82586424255294,,,0.0,10.515207676317637,,,,141.34733570839975,
MANARAT INTERNATIONAL UNIVERSITY,0.0,337.7678194444204,156.37137259015188,0.0,,,,,,,,0.0,,,,,
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,0.0,344.6610402494086,,89.64371637852636,106.52528050558311,,390.2480808657916,488.6063315634339,,,,25.105138492450713,,,,133.03498159006014,
PRESIDENCY UNIVERSITY,0.0,331.012463055532,172.99233864706662,82.68450973162321,,,159.56262509199172,300.1463102789255,,,,0.0,,,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,0.0,673.4261571635384,176.5227945378231,130.7986581980101,311.98617227913417,,417.11937870292206,255.35338214966907,168.27742012126353,237.22927942115908,134.22761408626133,50.03220035550551,163.82466837293813,217.37732384204617,268.64848072016355,910.2345877612491,414.3901382073562
UNIVERSITY OF LIBERAL ARTS BANGLADESH,0.0,,,0.0,,,,,,,0.0,49.89718532209454,,221.81359575718997,,,
UTTARA UNIVERSITY,0.0,351.69493903000875,550.6265199542498,6.084566407184605,299.6315198568804,,242.20498218116307,100.43299761772923,164.91187171883828,222.66544919602174,110.91761818573833,40.769633266911896,,245.39052153954162,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,0.0,,,,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,,,,,,,,,,,,61.0682241551601,,208.76918181790109,,,406.1023354432091
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,23.08387105311587,0.0,,,188.46311427786634,158.38136159877226,79.16223048175152,98.25552697341855,0.0,0.0,288.43581000366265,0.0,221.14251588388925,187.87460425326324
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,,373.669707169216,,6.7313048098072095,,,,288.26051639188006,,,80.28191921638614,20.964744092219064,170.5796213795691,878.9684762835986,110.17417856229451,,
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,382.4900135304901,,201.2719302570979,,29.508967627982805,,235.67305688657578,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,
BANGLADESH OPEN UNIVERSITY,,,,6.208741231821025,,0.0,,,,0.0,,33.311758689171604,,,,,
BANGLADESH UNIVERSITY,,,,9.881066423261636,,,138.74136573098363,160.33744874821403,140.30092244313852,76.02740615467417,,0.0,,0.0,,,
BANGLADESH UNIVERSITY OF TEXTILES,,,,,,,,,,,,35.3931596201111,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,,,,,,,,,,,,0.0,,,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",,,,9.489776192900472,,,,551.5725394475655,178.7918088139971,354.36685336392566,254.73564296264152,506.66041040543286,442.5539889653385,477.96630982782136,694.3186505957481,389.62652328648534,234.62876041676097
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,,,,,,,,0.0,,,,0.0,,,,,
CANADIAN UNIVERSITY OF BANGLADESH,,,,,,,,,,0.0,,0.0,,204.5937981815431,,,
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,5.282167456812212,,,,332.0493469577018,,134.27598256932035,,43.50290516444155,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,0.0,,,,,
CENTRAL WOMENS UNIVERSITY,,,,,,,,,,,,0.0,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,,,,,,,,0.0,,,,46.023575014719356,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,,,,18.11429966391767,,,0.0,184.69385199230896,,,,0.0,,,,130.37428195825896,
CITY UNIVERSITY,,775.7243985728406,166.14184203664277,49.2253104256691,293.6388894597428,530.4264740246504,,106.70829928189919,,,83.5921691132717,34.045816095834354,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",,,,5.389966792665524,,,,,,,,0.0,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DAFFODIL INSTITUTE OF IT (DIIT),,,,0.0,,,,294.14338407334697,,,,22.239195654072986,,,34.697762065609844,,
DAFFODIL INTERNATIONAL COLLEGE,,,,,,,,0.0,,,,,,,,,
DAFFODIL POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",,,,0.0,,,,,,,,,,,,,
DHAKA CITY COLLEGE,,760.2099106013839,,53.11151512531341,,,,635.3603463138891,,,90.62776962430243,318.7016586915256,167.16802895197767,,824.7752322469901,405.6919234553158,195.6212039288455
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,,730.105598141569,689.9109005142118,536.1395368945318,653.0509694675122,,1062.9891813068634,777.2718676549003,481.4778312329042,,,798.9640118689823,706.0222970885382,300.32883174059,399.82364573151057,632.7362213209307,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,
EAST DELTA UNIVERSITY,,,716.0084383031054,377.24373468701566,912.4419254063014,,1106.002060353689,702.8938249492094,,501.7395862599599,,600.1700234306875,612.9159831440612,,258.0100008836451,607.6798669566218,760.2099106013839
EUROPEAN UNIVERSITY OF BANGLADESH,,,,49.89718532209454,,,,0.0,,,,,,,,,
FAREAST INTERNATIONAL UNIVERSITY,,,,,,,,,,,,10.931340951820033,,,,,
FARIDPUR ENGINEERING COLLEGE,,,,105.36860911806819,,,,,,,162.81900519590988,149.47787635017494,,,30.736748158852404,,
FENI UNIVERSITY,,0.0,159.56262509199172,10.712714132783633,184.37707773002373,288.43581000366265,183.8013270906113,0.0,426.513468352591,118.91269504643368,,48.89924161565266,261.5398324454892,,,,1138.7070597776801
GERMAN UNIVERSITY BANGLADESH,,,,,,,,,,,,0.0,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),,,,0.0,,,,,,,104.39477489547143,71.780534102009,,,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),,,609.1535031648139,55.21822627026787,448.8135740338305,,,688.8359484502251,,,409.54146358871617,71.90816032071513,720.4309153964675,,643.4360406635905,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,,,299.42021009517174,776.3266629220356,,,,597.9960750678617,1379.9783017241873,213.84789740785925,360.4992904755985,195.2993099311166,899.8761751011159,255.5086646600808,926.2689723661624,230.26084536015122,
HAMDARD UNIVERSITY BANGLADESH,,,,4.585584440143571,,,,,,,,0.0,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,,,,,,,,,,,,0.0,,,,,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",,,,8.578006057740266,,,,166.9486138569492,,,,0.0,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),,305.315356485599,,151.57999376633492,,,,,,,,79.41020314625092,,,36.12844863141384,,
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,,687.1695481260596,,139.8125599430658,,,,,,,102.30687939756199,9.489776192900472,266.87738004641756,,,,
INTERNATIONAL STANDARD UNIVERSITY,,,,0.0,,,,,,,,0.0,,196.491883773554,,,
KHULNA UNIVERSITY,,3368.0123170435627,1236.2903614345012,607.8682979837715,813.9474795362005,,1468.1317217889,1285.7721104610227,814.2345428238284,1445.6055813226649,1750.4353722598153,1665.057821616769,1735.6272949355182,1934.0278964732418,725.007482834971,,
KHWAJA YUNUS ALI UNIVERSITY,,,,36.85251938787078,,,150.17906623558181,163.60964157981024,,71.55638645353008,72.568496386709,0.0,,,,,
METROPOLITAN UNIVERSITY,,646.7584813398623,1814.7844325775402,1235.076610721363,772.2368132258597,948.5464724770388,2032.6709205681595,961.7982389711232,532.8844525918095,1003.8676350473535,522.3812990945466,158.36982166579844,174.06083814241742,375.06815670370025,568.3140010458362,630.2521816409007,988.5406734813027
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
NATIONAL UNIVERSITY,,,,,,,,,,,,,,,,571.9434293406368,
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,,,585.0310244394872,694.2189969620254,858.7830406570076,949.9935991061749,716.0084383031054,981.4267744603297,538.1319089309382,703.014173096221,400.85939605953956,724.2790316981385,881.7218114757552,353.0111485442691,144.87923334056202,758.9060505594008,325.20153843068783
NORTH EAST UNIVERSITY BANGLADESH,,358.87238676531507,,10.082720840062894,,458.8191180735842,,276.8453999427616,,479.8018927337414,0.0,66.84098233306128,289.33932416576215,260.7231272041641,70.5906368428744,249.64093010338868,517.5145669260057
"NORTH WESTERN UNIVERSITY, KHULNA",,,,36.115469000113364,,,,,,,,71.89504308009764,,,,,
NOTRE DAME UNIVERSITY BANGLADESH,,311.54628212816226,,6.335450236552065,,,,,155.21373436679687,,0.0,0.0,,0.0,,,
PABNA ENGINEERING COLLEGE,,,,0.0,,,,,,,,,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,596.549430397843,281.81190637989494,142.66587749292424,,519.8179445441572,1326.542763398794,,149.06727048587163,333.5272474512999,668.0025452145334,101.44571092287583,,192.56204609808293,57.67768978518684,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,,,,0.0,,,0.0,,,,,,,,,,
PORT CITY INTERNATIONAL UNIVERSITY,,,,116.75522765000528,173.53423054287651,0.0,,170.3557284254584,182.44062123877256,267.06572336354077,87.03890994718004,433.7029091860317,,,35.40587965878556,,538.8531517347001
PRIMEASIA UNIVERSITY,,,,,,,,,,,,0.0,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,0.0,,,,0.0,,0.0,,,
R. P. SHAHA UNIVERSITY,,,,9.683445094796403,,,,0.0,,246.33291985789808,413.6794045856741,157.94144969112898,,,66.43934267141863,,207.84409974675253
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,,,,341.27064024882594,601.6155750061279,,,,,,,282.4168437788243,,,263.6955053299554,,561.0715865625782
RANGPUR ENGINEERING COLLEGE,,,,14.214593885019863,,,,111.10818334225239,,,120.25308656116052,12.340051896318432,,,,,
RANGPUR POLYTECHNIC INSTITUTE,,,,25.026743174998444,,,,,,,,11.154429542673507,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,,,,,,,,,,,,8.753067405857415,,0.0,,,
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,,,,0.0,,,144.2319752126528,250.24631450667565,212.59168645595076,257.73327213419964,75.5607001111089,0.0,,282.66709380358935,29.519572931761846,138.52038899423172,259.5678307738665
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,,,,,,,,,,,,0.0,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,
SONARGAON UNIVERSITY,,,,361.5988299631894,,,156.37137259015188,306.27174518257704,,,,68.93802495156943,,,56.5241359894831,,
SOUTHEAST UNIVERSITY,,389.07716281675977,259.9343295537158,14.262157329574087,331.47983862924264,,176.5227945378231,240.3365604522113,242.24948874610126,,,377.1205239245244,1807.1921021819223,306.4579915720306,502.5462566660599,135.7499812143471,
SOUTHERN UNIVERSITY BANGLADESH,,,,4.774661016392724,,,,,,,,9.113981055661618,,,,,
STAMFORD UNIVERSITY BANGLADESH,,,,0.0,,,,,,,,,,,,,
STATE UNIVERSITY OF BANGLADESH,,,,5.843617577460093,,,,,,,,9.881066423261636,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,,,,,,,,,,,0.0,,,,,,
SYLHET INTERNATIONAL UNIVERSITY,,,,7.598761309254451,108.69926582202359,0.0,,108.88601967540733,,0.0,,21.358523506171696,,271.4734768889672,76.53195318762347,596.476291868117,
TEESTA UNIVERSITY,,,,8.931701434548383,,,,,,,,0.0,,,,,
TEJGAON COLLEGE,,,,12.611977091791212,,,,282.49530606404244,,,,31.52631515381099,,,63.80834470163045,,
THAKURGAON POLYTECHNIC INSTITUTE,,,,5.499966114964819,,,,,,,,,,,,,
